STATION,NAME,DATE,TMAX
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-01,46
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-02,46
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-03,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-04,51
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-05,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-06,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-07,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-08,50
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-09,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-10,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-11,41
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-12,40
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-13,41
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-14,51
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-15,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-16,53
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-17,49
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-18,43
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-19,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-20,41
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-21,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-22,43
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-23,43
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-24,41
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-25,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-26,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-27,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-28,44
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-29,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-30,38
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-01-31,41
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-01,56
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-02,50
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-03,55
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-04,51
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-05,46
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-06,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-07,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-08,51
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-02-09,53
